repository,repo_url,file_path,line_number,code_snippet,explanation
MatthewZou9419/GACNN,https://github.com/MatthewZou9419/GACNN,GA.py,58,"    56:                 model.add(Conv2D(120, (1, 1), activation='relu', use_bias=False))
    57:                 model.add(AveragePooling2D((2, 2)))
>>> 58:                 model.add(Flatten())
    59:                 model.add(Dense(120, activation='relu', use_bias=False))
    60:                 model.add(Dense(84, activation='relu', use_bias=False))","Flatten() directly before Dense layer. Creates a massive intermediate tensor and weight matrix. GlobalAveragePooling2D/GlobalMaxPooling2D would reduce dimensionality first, using far less memory."
MatthewZou9419/GACNN,https://github.com/MatthewZou9419/GACNN,GA.py,70,"    68:                 model.add(AveragePooling2D((2, 2)))
    69:                 model.add(Conv2D(1, (1, 1), activation='relu', use_bias=False))
>>> 70:                 model.add(Flatten())
    71:                 model.add(Dense(40, activation='relu', use_bias=False))
    72:                 model.add(Dense(10, activation='softmax', use_bias=False))","Flatten() directly before Dense layer. Creates a massive intermediate tensor and weight matrix. GlobalAveragePooling2D/GlobalMaxPooling2D would reduce dimensionality first, using far less memory."
hananabilabd/EMG-Computer-Vision-Classification-using-MYO-ArmBand-Camera-Raspberry-Pi,https://github.com/hananabilabd/EMG-Computer-Vision-Classification-using-MYO-ArmBand-Camera-Raspberry-Pi,CV.py,50,"    48:         x = MaxPooling2D( (2, 2), strides=(2, 2) )( x )
    49:         x = Dropout( 0.2 )( x )
>>> 50:         x = Flatten()( x )
    51:         x = Dense( 4, activation='softmax', kernel_initializer=glorot_uniform( seed=0 ) )( x )
    52:         model = Model( inputs=x_input, outputs=x )","Flatten() directly before Dense layer. Creates a massive intermediate tensor and weight matrix. GlobalAveragePooling2D/GlobalMaxPooling2D would reduce dimensionality first, using far less memory."
yudasong/Reinforcement-Learning-Branch-and-Bound,https://github.com/yudasong/Reinforcement-Learning-Branch-and-Bound,othello/keras/OthelloNNet.py,25,"    23:         h_conv3 = Activation('relu')(BatchNormalization(axis=3)(Conv2D(args.num_channels, 3, padding='valid')(h_conv2)))        # batch_size  x (board_x-2) x (board_y-2) x num_channels
    24:         h_conv4 = Activation('relu')(BatchNormalization(axis=3)(Conv2D(args.num_channels, 3, padding='valid')(h_conv3)))        # batch_size  x (board_x-4) x (board_y-4) x num_channels
>>> 25:         h_conv4_flat = Flatten()(h_conv4)       
    26:         s_fc1 = Dropout(args.dropout)(Activation('relu')(BatchNormalization(axis=1)(Dense(1024)(h_conv4_flat))))  # batch_size x 1024
    27:         s_fc2 = Dropout(args.dropout)(Activation('relu')(BatchNormalization(axis=1)(Dense(512)(s_fc1))))          # batch_size x 1024","Flatten() directly before Dense layer. Creates a massive intermediate tensor and weight matrix. GlobalAveragePooling2D/GlobalMaxPooling2D would reduce dimensionality first, using far less memory."
bubbliiiing/classic-convolution-network,https://github.com/bubbliiiing/classic-convolution-network,resnet50.py,125,"    123: 
    124:     # 1,1,2048 -> 2048 -> num_classes
>>> 125:     x = Flatten()(x)
    126:     x = Dense(classes, activation='softmax', name='fc1000')(x)
    127: ","Flatten() directly before Dense layer. Creates a massive intermediate tensor and weight matrix. GlobalAveragePooling2D/GlobalMaxPooling2D would reduce dimensionality first, using far less memory."
cjy1992/interp-e2e-driving,https://github.com/cjy1992/interp-e2e-driving,interp_e2e_driving/networks/multi_inputs_critic_rnn_network.py,209,"    205: 
    206:     has_time_dim = num_outer_dims == 2
    207:     if not has_time_dim:
    208:       # Add a time dimension to the inputs.
>>> 209:       observation = tf.nest.map_structure(lambda t: tf.expand_dims(t, 1),
    210:                                           observation)
    211:       action = tf.nest.map_structure(lambda t: tf.expand_dims(t, 1), action)
    212:       step_type = tf.nest.map_structure(lambda t: tf.expand_dims(t, 1),
    213:                                         step_type)",3 consecutive tf.expand_dims() calls. Each allocates a new tensor copy. A single tf.reshape() to target shape would use 1 allocation instead of 3.
davidruizhidalgo/unsupervisedRemoteSensing,https://github.com/davidruizhidalgo/unsupervisedRemoteSensing,3_Redes Semisupervisadas/BCAE_v1.py,125,"    123:     output = concatenate([branch_a, branch_b, branch_c, branch_d], axis=-1)
    124:     # Se añade como capa final de salida un clasificador tipo Multinomial logistic regression
>>> 125:     output = Flatten()(output)
    126:     out    = Dense(groundTruth.max()+1, activation='softmax', kernel_regularizer=regularizers.l2(0.001))(output)
    127:     # Se define el modelo total de la red ","Flatten() directly before Dense layer. Creates a massive intermediate tensor and weight matrix. GlobalAveragePooling2D/GlobalMaxPooling2D would reduce dimensionality first, using far less memory."
scalaboy/AutoDriveCar_RL_Agent,https://github.com/scalaboy/AutoDriveCar_RL_Agent,code/end2end/1.interp-e2e-driving-master/interp_e2e_driving/networks/multi_inputs_critic_rnn_network.py,209,"    205: 
    206:     has_time_dim = num_outer_dims == 2
    207:     if not has_time_dim:
    208:       # Add a time dimension to the inputs.
>>> 209:       observation = tf.nest.map_structure(lambda t: tf.expand_dims(t, 1),
    210:                                           observation)
    211:       action = tf.nest.map_structure(lambda t: tf.expand_dims(t, 1), action)
    212:       step_type = tf.nest.map_structure(lambda t: tf.expand_dims(t, 1),
    213:                                         step_type)",3 consecutive tf.expand_dims() calls. Each allocates a new tensor copy. A single tf.reshape() to target shape would use 1 allocation instead of 3.
aldahdooh/detectors_review,https://github.com/aldahdooh/detectors_review,kd_bu/detect/util.py,144,"    142:             MaxPooling2D(pool_size=(2, 2)),
    143:             Dropout(0.5),
>>> 144:             Flatten(),
    145:             Dense(128),
    146:             Activation('relu'),","Flatten() directly before Dense layer. Creates a massive intermediate tensor and weight matrix. GlobalAveragePooling2D/GlobalMaxPooling2D would reduce dimensionality first, using far less memory."
aldahdooh/detectors_review,https://github.com/aldahdooh/detectors_review,kd_bu/detect/util.py,189,"    187:             MaxPooling2D(pool_size=(2, 2)),
    188:             Dropout(0.5),
>>> 189:             Flatten(),
    190:             Dense(512),
    191:             Activation('relu'),","Flatten() directly before Dense layer. Creates a massive intermediate tensor and weight matrix. GlobalAveragePooling2D/GlobalMaxPooling2D would reduce dimensionality first, using far less memory."
