repository,repo_url,file_path,line_number,code_snippet,explanation
lsa-pucrs-old/acerta-abide,https://github.com/lsa-pucrs-old/acerta-abide,nn.py,83,"    81:         prev_costs = np.array([9999999999] * 3)
    82: 
>>> 83:         for epoch in range(training_iters):
    84: 
    85:             # Break training set into batches",Training calls inside loop with no GPU memory cleanup (clear_session/del model/reset_default_graph/sess.close). Each iteration accumulates GPU memory → OOM.
lsa-pucrs-old/acerta-abide,https://github.com/lsa-pucrs-old/acerta-abide,nn.py,89,"    87:             costs = np.zeros((len(batches), 3))
    88: 
>>> 89:             for ib in batches:
    90: 
    91:                 # Compute start and end of batch from training set data array",Training calls inside loop with no GPU memory cleanup (clear_session/del model/reset_default_graph/sess.close). Each iteration accumulates GPU memory → OOM.
lsa-pucrs-old/acerta-abide,https://github.com/lsa-pucrs-old/acerta-abide,nn.py,214,"    212: 
    213:         # Iterate Epochs
>>> 214:         for epoch in range(training_iters):
    215: 
    216:             # Break training set into batches",Training calls inside loop with no GPU memory cleanup (clear_session/del model/reset_default_graph/sess.close). Each iteration accumulates GPU memory → OOM.
lsa-pucrs-old/acerta-abide,https://github.com/lsa-pucrs-old/acerta-abide,nn.py,220,"    218:             costs = np.zeros((len(batches), 3))
    219: 
>>> 220:             for ib in batches:
    221: 
    222:                 # Compute start and end of batch from training set data array",Training calls inside loop with no GPU memory cleanup (clear_session/del model/reset_default_graph/sess.close). Each iteration accumulates GPU memory → OOM.
lsa-pucrs-old/acerta-abide,https://github.com/lsa-pucrs-old/acerta-abide,nn.py,350,"    348: 
    349:         # Iterate Epochs
>>> 350:         for epoch in range(training_iters):
    351: 
    352:             # Break training set into batches",Training calls inside loop with no GPU memory cleanup (clear_session/del model/reset_default_graph/sess.close). Each iteration accumulates GPU memory → OOM.
lsa-pucrs-old/acerta-abide,https://github.com/lsa-pucrs-old/acerta-abide,nn.py,365,"    363:             momentum = initial_momentum * (1 - alpha) + alpha * final_momentum
    364: 
>>> 365:             for ib in batches:
    366: 
    367:                 # Compute start and end of batch from training set data array",Training calls inside loop with no GPU memory cleanup (clear_session/del model/reset_default_graph/sess.close). Each iteration accumulates GPU memory → OOM.
aitorzip/Keras-ICNet,https://github.com/aitorzip/Keras-ICNet,train,38,"    36: config = tf.ConfigProto()
    37: config.gpu_options.allow_growth = True
>>> 38: sess = tf.Session(config=config)
    39: K.set_session(sess)
    40: ",TF Session assigned without .close() or context manager. GPU memory is never released.
Xls1994/Tensorflow-Turitors,https://github.com/Xls1994/Tensorflow-Turitors,tf.py,3,"    1: import tensorflow as tf
    2: hello =tf.constant(""hello TensorFlow"")
>>> 3: sess =tf.Session()
    4: print sess.run(hello)
    5: ",TF Session assigned without .close() or context manager. GPU memory is never released.
Mryao1/plh,https://github.com/Mryao1/plh,11.py,4,"    2: import os
    3: os.environ['TF_CPP_MIN_LOG_LEVEL'] = '2'
>>> 4: sess = tf.Session()
    5: a = tf.constant(1)
    6: b = tf.constant(2)",TF Session assigned without .close() or context manager. GPU memory is never released.
kshmelkov/gan_evaluation,https://github.com/kshmelkov/gan_evaluation,evaluation/fid.py,90,"    88:     n_used_imgs = n_batches*batch_size
    89:     pred_arr = np.empty((n_used_imgs,2048))
>>> 90:     for i in range(n_batches):
    91:         if verbose:
    92:             print(""\rPropagating batch %d/%d"" % (i+1, n_batches), end="""", flush=True)",Training calls inside loop with no GPU memory cleanup (clear_session/del model/reset_default_graph/sess.close). Each iteration accumulates GPU memory → OOM.
