repository,repo_url,file_path,line_number,code_snippet,explanation
Tharun24/MACH,https://github.com/Tharun24/MACH,src/train.py,23,"    20: r = int(args.repetition) # which repetition
    21: 
    22: ############################## Test code from here ################################
>>> 23: lookup = tf.constant(np.load(config.lookups_loc+'bucket_order_'+str(r)+'.npy'))
    24: query_lookup = tf.constant(np.load(config.query_lookups_loc+'bucket_order_'+str(r)+'.npy'))
    25: 
    26: train_files = glob.glob(config.tfrecord_loc+'*_train.tfrecords')",tf.constant() wraps np.load(). Entire file contents embedded into graph as a constant permanently. Use tf.data.Dataset or tf.placeholder instead.
Tharun24/MACH,https://github.com/Tharun24/MACH,src/train.py,24,"    21: 
    22: ############################## Test code from here ################################
    23: lookup = tf.constant(np.load(config.lookups_loc+'bucket_order_'+str(r)+'.npy'))
>>> 24: query_lookup = tf.constant(np.load(config.query_lookups_loc+'bucket_order_'+str(r)+'.npy'))
    25: 
    26: train_files = glob.glob(config.tfrecord_loc+'*_train.tfrecords')
    27: ",tf.constant() wraps np.load(). Entire file contents embedded into graph as a constant permanently. Use tf.data.Dataset or tf.placeholder instead.
caoyue10/cvpr17-dvsq,https://github.com/caoyue10/cvpr17-dvsq,net.py,85,"    82:             ICM_X_expand = tf.expand_dims(self.ICM_X_residual, 1)
    83:             ICM_C_m_expand = tf.expand_dims(self.ICM_C_m, 0)
    84:             # N*sc*D  *  D*n
>>> 85:             word_dict = tf.constant(np.loadtxt(self.wordvec_dict), dtype=tf.float32)
    86:             ICM_word_dict = tf.reshape(tf.matmul(tf.reshape(tf.sub(ICM_X_expand, ICM_C_m_expand), [self.code_batch_size*self.subcenter_num, self.output_dim]), tf.transpose(word_dict)), [self.code_batch_size, self.subcenter_num, self.n_class])
    87:             ICM_sum_squares = tf.reduce_sum(tf.square(ICM_word_dict), reduction_indices = 2)
    88:             ICM_best_centers = tf.argmin(ICM_sum_squares, 1)",tf.constant() wraps np.loadtxt(). Entire file contents embedded into graph as a constant permanently. Use tf.data.Dataset or tf.placeholder instead.
caoyue10/cvpr17-dvsq,https://github.com/caoyue10/cvpr17-dvsq,net.py,315,"    312:         ### loss function
    313:         if self.loss_type == 'cos_margin_multi_label':
    314:             assert self.output_dim == 300
>>> 315:             word_dict = tf.constant(np.loadtxt(self.wordvec_dict), dtype=tf.float32)
    316:             margin_param = tf.constant(self.margin_param, dtype=tf.float32)
    317: 
    318:             # N: batchsize, L: label_dim, D: 300",tf.constant() wraps np.loadtxt(). Entire file contents embedded into graph as a constant permanently. Use tf.data.Dataset or tf.placeholder instead.
caoyue10/cvpr17-dvsq,https://github.com/caoyue10/cvpr17-dvsq,net.py,361,"    358:             self.check2 = tf.check_numerics(cos_2, ""cos_2"")
    359:         elif self.loss_type == 'cos_softmargin_multi_label':
    360:             assert self.output_dim == 300
>>> 361:             word_dict = tf.constant(np.loadtxt(self.wordvec_dict), dtype=tf.float32)
    362:             #margin_param = tf.constant(self.margin_param, dtype=tf.float32)
    363: 
    364:             # N: batchsize, L: label_dim, D: 300",tf.constant() wraps np.loadtxt(). Entire file contents embedded into graph as a constant permanently. Use tf.data.Dataset or tf.placeholder instead.
caoyue10/cvpr17-dvsq,https://github.com/caoyue10/cvpr17-dvsq,net.py,412,"    409:         
    410:         
    411:         self.precq_loss_img = tf.reduce_mean(tf.reduce_sum(tf.square(tf.sub(self.img_last_layer, tf.matmul(self.b_img, self.C))), 1))
>>> 412:         word_dict = tf.constant(np.loadtxt(self.wordvec_dict), dtype=tf.float32)
    413:         self.cq_loss_img = tf.reduce_mean(tf.reduce_sum(tf.square(tf.matmul(tf.sub(self.img_last_layer, tf.matmul(self.b_img, self.C)), tf.transpose(word_dict))), 1))
    414:         self.q_lambda = tf.Variable(self.cq_lambda, name='cq_lambda')
    415:         self.cq_loss = tf.mul(self.q_lambda, self.cq_loss_img)",tf.constant() wraps np.loadtxt(). Entire file contents embedded into graph as a constant permanently. Use tf.data.Dataset or tf.placeholder instead.
Apress/Machine-Learning-for-Economics-and-Finance-in-TensorFlow-2,https://github.com/Apress/Machine-Learning-for-Economics-and-Finance-in-TensorFlow-2,chapter1.py,238,"    235: (32, 64, 64, 3)
    236: 
    237: # Convert numpy arrays into tensorflow constants.
>>> 238: images = tf.constant(images, tf.float32)
    239: transform = tf.constant(transform, tf.float32)
    240: 
    241: # Perform tensor addition with tf.add().",tf.constant(images) where 'images' holds file-loaded data. Entire dataset embedded permanently in graph. Use tf.data.Dataset or tf.placeholder + feed_dict.
Apress/Machine-Learning-for-Economics-and-Finance-in-TensorFlow-2,https://github.com/Apress/Machine-Learning-for-Economics-and-Finance-in-TensorFlow-2,chapter1.py,388,"    385: images = np.load('images.npy')
    386: 
    387: # Convert the numpy array into a TensorFlow constant.
>>> 388: images = tf.constant(images)
    389: 
    390: # Normalize pixel values to [0,1] interval.
    391: images = images / 255.0",tf.constant(images) where 'images' holds file-loaded data. Entire dataset embedded permanently in graph. Use tf.data.Dataset or tf.placeholder + feed_dict.
Apress/Machine-Learning-for-Economics-and-Finance-in-TensorFlow-2,https://github.com/Apress/Machine-Learning-for-Economics-and-Finance-in-TensorFlow-2,chapter1.py,418,"    415: data = np.load('data.csv')
    416: 
    417: # Convert data to a TensorFlow constant.
>>> 418: data_tensorflow = tf.constant(data)
    419: 
    420: # Convert data to a numpy array.
    421: data_numpy = np.array(data)",tf.constant(data) where 'data' holds file-loaded data. Entire dataset embedded permanently in graph. Use tf.data.Dataset or tf.placeholder + feed_dict.
yinoue93/CS231N_final_proj,https://github.com/yinoue93/CS231N_final_proj,models.py,241,"    238: 
    239:         if self.config.use_class_imbalance:
    240:             imbalance_fname = CLASS_IMBALANCE_FILE if self.config.color_space=='rgb' else CLASS_IMBALANCE_FILE_LCH
>>> 241:             class_weights = tf.constant(np.load(imbalance_fname), dtype=tf.float32)
    242:             max_indx = tf.argmax(self.output_placeholder, axis=2)
    243: 
    244:             weight_vec = tf.gather(params=class_weights, indices=max_indx)",tf.constant() wraps np.load(). Entire file contents embedded into graph as a constant permanently. Use tf.data.Dataset or tf.placeholder instead.
yinoue93/CS231N_final_proj,https://github.com/yinoue93/CS231N_final_proj,models.py,247,"    244:             weight_vec = tf.gather(params=class_weights, indices=max_indx)
    245:             xloss = tf.reshape(xloss, shape=[tf.shape(xloss)[0], int((IMG_DIM)/4)**2])
    246: 
>>> 247:             chroma_weights = tf.constant(np.load(CHROMA_MATRIX_FILE), dtype=tf.float32)
    248:             outPShape = tf.shape(self.output_placeholder)
    249:             outShape = tf.shape(self.layers['output'])
    250:             outputP_reshaped = tf.reshape(self.output_placeholder, shape=[outPShape[0]*outPShape[1], outPShape[2]])",tf.constant() wraps np.load(). Entire file contents embedded into graph as a constant permanently. Use tf.data.Dataset or tf.placeholder instead.
